gene_id,symbol,entrez_gid,transcript_name,ensembl_tid,full_name
"36","CASP10","843","CASP10-202","ENST00000286186","caspase 10"
"37","CFLAR","8837","CFLAR-201","ENST00000309955","CASP8 and FADD like apoptosis regulator"
"38","TFPI","7035","TFPI-203","ENST00000392365","tissue factor pathway inhibitor"
"39","NDUFAF7","55471","NDUFAF7-209","ENST00000455230","NADH:ubiquinone oxidoreductase complex assembly factor 7"
"40","RBM5","10181","RBM5-201","ENST00000347869","RNA binding motif protein 5"
"41","MTMR7","9108","MTMR7-201","ENST00000180173","myotubularin related protein 7"
"42","SLC7A2","6542","SLC7A2-204","ENST00000494857","solute carrier family 7 member 2"
"43","ARF5","381","ARF5-201","ENST00000000233","ADP ribosylation factor 5"
"44","SARM1","23098","SARM1-201","ENST00000379061","sterile alpha and TIR motif containing 1"
"45","POLDIP2","26073","POLDIP2-201","ENST00000540200","DNA polymerase delta interacting protein 2"
"46","PLXND1","23129","PLXND1-201","ENST00000324093","plexin D1"
"47","AK2","204","AK2-217","ENST00000672715","adenylate kinase 2"
"48","CD38","952","CD38-202","ENST00000502843","CD38 molecule"
"49","FKBP4","2288","FKBP4-201","ENST00000001008","FKBP prolyl isomerase 4"
"50","KDM1A","23028","KDM1A-203","ENST00000465864","lysine demethylase 1A"
"51","RBM6","10180","RBM6-210","ENST00000442092","RNA binding motif protein 6"
"52","CAMKK1","84254","CAMKK1-203","ENST00000381769","calcium/calmodulin dependent protein kinase kinase 1"
"53","RECQL","5965","RECQL-204","ENST00000444129","RecQ like helicase"
"54","VPS50","55610","VPS50-201","ENST00000251739","VPS50 subunit of EARP/GARPII complex"
"55","HSPB6","126393","HSPB6-201","ENST00000004982","heat shock protein family B (small) member 6"
"56","ARHGAP33","115703","ARHGAP33-209","ENST00000589133","Rho GTPase activating protein 33"
"57","NDUFAB1","4706","NDUFAB1-201","ENST00000007516","NADH:ubiquinone oxidoreductase subunit AB1"
"58","PDK4","5166","PDK4-201","ENST00000005178","pyruvate dehydrogenase kinase 4"
"59","SLC22A16","85413","SLC22A16-207","ENST00000460159","solute carrier family 22 member 16"
"60","ZMYND10","51364","ZMYND10-209","ENST00000490675","zinc finger MYND-type containing 10"
"61","ABCB5","340273","ABCB5-202","ENST00000404938","ATP binding cassette subfamily B member 5"
"62","ARX","170302","ARX-201","ENST00000379044","aristaless related homeobox"
"63","SLC25A13","10165","SLC25A13-201","ENST00000265631","solute carrier family 25 member 13"
"64","ST7","7982","ST7-205","ENST00000393446","suppression of tumorigenicity 7"
"65","CDC27","996","CDC27-201","ENST00000066544","cell division cycle 27"
"66","SLC4A1","6521","SLC4A1-201","ENST00000262418","solute carrier family 4 member 1 (Diego blood group)"
"67","CALCR","799","CALCR-206","ENST00000426151","calcitonin receptor"
"68","HCCS","3052","HCCS-201","ENST00000321143","holocytochrome c synthase"
"69","DVL2","1856","DVL2-201","ENST00000005340","dishevelled segment polarity protein 2"
"70","PRSS22","64063","PRSS22-201","ENST00000161006","serine protease 22"
"71","UPF1","5976","UPF1-201","ENST00000262803","UPF1 RNA helicase and ATPase"
"72","SKAP2","8935","SKAP2-201","ENST00000345317","src kinase associated phosphoprotein 2"
"73","SLC25A5","292","SLC25A5-201","ENST00000317881","solute carrier family 25 member 5"
"74","MCUB","55013","MCUB-201","ENST00000394650","mitochondrial calcium uniporter dominant negative subunit beta"
"75","HOXA11","3207","HOXA11-202","ENST00000517402","homeobox A11"
"76","POLR2J","5439","POLR2J-201","ENST00000292614","RNA polymerase II subunit J"
"77","MEOX1","4222","MEOX1-201","ENST00000318579","mesenchyme homeobox 1"
"78","THSD7A","221981","THSD7A-202","ENST00000423059","thrombospondin type 1 domain containing 7A"
"79","LIG3","3980","LIG3-202","ENST00000378526","DNA ligase 3"
"80","RPAP3","79657","RPAP3-201","ENST00000005386","RNA polymerase II associated protein 3"
"81","ACSM3","6296","ACSM3-213","ENST00000568235","acyl-CoA synthetase medium chain family member 3"
"82","REXO5","81691","REXO5-219","ENST00000568894","RNA exonuclease 5"
"83","CIAPIN1","57019","CIAPIN1-201","ENST00000394391","cytokine induced apoptosis inhibitor 1"
"84","SPPL2B","56928","SPPL2B-201","ENST00000585725","signal peptide peptidase like 2B"
"85","FAM214B","80256","FAM214B-204","ENST00000378566","family with sequence similarity 214 member B"
"86","COPZ2","51226","COPZ2-203","ENST00000580409","COPI coat complex subunit zeta 2"
"87","PRKAR2B","5577","PRKAR2B-201","ENST00000265717","protein kinase cAMP-dependent type II regulatory subunit beta"
"88","MSL3","10943","MSL3-249","ENST00000650370","MSL complex subunit 3"
"89","CREBBP","1387","CREBBP-201","ENST00000262367","CREB binding protein"
"90","TSPOAP1","9256","TSPOAP1-208","ENST00000581692","TSPO associated protein 1"
"91","MPO","4353","MPO-201","ENST00000225275","myeloperoxidase"
"92","PON1","5444","PON1-201","ENST00000222381","paraoxonase 1"
"93","GCFC2","6936","GCFC2-206","ENST00000470285","GC-rich sequence DNA-binding factor 2"
"94","WDR54","84058","WDR54-203","ENST00000461531","WD repeat domain 54"
"95","CROT","54677","CROT-203","ENST00000419147","carnitine O-octanoyltransferase"
"96","ABCB4","5244","ABCB4-205","ENST00000440025","ATP binding cassette subfamily B member 4"
"97","KMT2E","55904","KMT2E-203","ENST00000334884","lysine methyltransferase 2E (inactive)"
"98","RHBDD2","57414","RHBDD2-205","ENST00000466232","rhomboid domain containing 2"
"99","SOX8","30812","SOX8-201","ENST00000293894","SRY-box transcription factor 8"
"100","IBTK","25998","IBTK-201","ENST00000306270","inhibitor of Bruton tyrosine kinase"
"101","ZNF195","7748","ZNF195-220","ENST00000528796","zinc finger protein 195"
"102","MYCBP2","23077","MYCBP2-211","ENST00000544440","MYC binding protein 2"
"103","FBXL3","26224","FBXL3-206","ENST00000485797","F-box and leucine rich repeat protein 3"
"104","ITGAL","3683","ITGAL-201","ENST00000356798","integrin subunit alpha L"
"105","PDK2","5164","PDK2-201","ENST00000007708","pyruvate dehydrogenase kinase 2"
"106","ITGA3","3675","ITGA3-207","ENST00000506401","integrin subunit alpha 3"
"107","ZFX","7543","ZFX-210","ENST00000497813","zinc finger protein X-linked"
"108","LAMP2","3920","LAMP2-203","ENST00000434600","lysosomal associated membrane protein 2"
"109","ITGA2B","3674","ITGA2B-210","ENST00000648408","integrin subunit alpha 2b"
"110","ASB4","51666","ASB4-201","ENST00000257621","ankyrin repeat and SOCS box containing 4"
"111","GDE1","51573","GDE1-201","ENST00000353258","glycerophosphodiester phosphodiesterase 1"
"112","REX1BD","55049","REX1BD-206","ENST00000598375","required for excision 1-B domain containing"
"113","CRLF1","9244","CRLF1-203","ENST00000594325","cytokine receptor like factor 1"
"114","OSBPL7","114881","OSBPL7-201","ENST00000007414","oxysterol binding protein like 7"
"115","TMEM98","26022","TMEM98-202","ENST00000394642","transmembrane protein 98"
"116","YBX2","51087","YBX2-201","ENST00000007699","Y-box binding protein 2"
"117","MAP3K14","9020","MAP3K14-205","ENST00000617331","mitogen-activated protein kinase kinase kinase 14"
"118","ABCC8","6833","ABCC8-237","ENST00000644772","ATP binding cassette subfamily C member 8"
"119","CACNG3","10368","CACNG3-201","ENST00000005284","calcium voltage-gated channel auxiliary subunit gamma 3"
"120","TMEM132A","54972","TMEM132A-207","ENST00000537065","transmembrane protein 132A"
"121","TAC1","6863","TAC1-201","ENST00000319273","tachykinin precursor 1"
"122","ZNF263","10127","ZNF263-202","ENST00000538765","zinc finger protein 263"
"123","CX3CL1","6376","CX3CL1-201","ENST00000006053","C-X3-C motif chemokine ligand 1"
"124","SPATA20","64847","SPATA20-208","ENST00000504334","spermatogenesis associated 20"
"125","CACNA1G","8913","CACNA1G-205","ENST00000360761","calcium voltage-gated channel subunit alpha1 G"
"126","TNFRSF12A","51330","TNFRSF12A-204","ENST00000573001","TNF receptor superfamily member 12A"
"127","DLX6","1750","DLX6-202","ENST00000518156","distal-less homeobox 6"
"128","MAP3K9","4293","MAP3K9-205","ENST00000554752","mitogen-activated protein kinase kinase kinase 9"
"129","RALA","5898","RALA-201","ENST00000005257","RAS like proto-oncogene A"
"130","BAIAP2L1","55971","BAIAP2L1-201","ENST00000005260","BAR/IMD domain containing adaptor protein 2 like 1"
"131","KDM7A","80853","KDM7A-201","ENST00000397560","lysine demethylase 7A"
"132","ETV1","2115","ETV1-210","ENST00000430479","ETS variant transcription factor 1"
"133","AGK","55750","AGK-202","ENST00000473247","acylglycerol kinase"
"134","ALDH3B1","221","ALDH3B1-204","ENST00000614849","aldehyde dehydrogenase 3 family member B1"
"135","TTC22","55001","TTC22-202","ENST00000371276","tetratricopeptide repeat domain 22"
"136","PHTF2","57157","PHTF2-205","ENST00000416283","putative homeodomain transcription factor 2"
"137","CCL26","10344","CCL26-201","ENST00000005180","C-C motif chemokine ligand 26"
"138","FARP2","9855","FARP2-201","ENST00000264042","FERM, ARH/RhoGEF and pleckstrin domain protein 2"
"139","USH1C","10083","USH1C-204","ENST00000526313","USH1 protein network component harmonin"
"140","GGCT","79017","GGCT-207","ENST00000440082","gamma-glutamylcyclotransferase"
"141","DBF4","10926","DBF4-202","ENST00000413643","DBF4 zinc finger"
"142","TBXA2R","6915","TBXA2R-201","ENST00000375190","thromboxane A2 receptor"
"143","IFRD1","3475","IFRD1-206","ENST00000432734","interferon related developmental regulator 1"
"144","LGALS14","56891","LGALS14-202","ENST00000392052","galectin 14"
"145","COX10","1352","COX10-207","ENST00000670279","cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10"
"146","GTF2IRD1","9569","GTF2IRD1-201","ENST00000265755","GTF2I repeat domain containing 1"
"147","PAF1","54623","PAF1-201","ENST00000221265","PAF1 homolog, Paf1/RNA polymerase II complex component"
"148","VPS41","27072","VPS41-202","ENST00000310301","VPS41 subunit of HOPS complex"
"149","ARHGAP44","9912","ARHGAP44-203","ENST00000379672","Rho GTPase activating protein 44"
"150","ELAC2","60528","ELAC2-207","ENST00000480891","elaC ribonuclease Z 2"
"151","SCIN","85477","SCIN-202","ENST00000341757","scinderin"
"152","ARSD","414","ARSD-202","ENST00000381154","arylsulfatase D"
"153","PNPLA4","8228","PNPLA4-201","ENST00000381042","patatin like phospholipase domain containing 4"
"154","MYH13","8735","MYH13-202","ENST00000418404","myosin heavy chain 13"
"155","ADIPOR2","79602","ADIPOR2-204","ENST00000537545","adiponectin receptor 2"
"156","UPP2","151531","UPP2-204","ENST00000605860","uridine phosphorylase 2"
"157","PRSS21","10942","PRSS21-202","ENST00000450020","serine protease 21"
"158","MARK4","57787","MARK4-203","ENST00000587566","microtubule affinity regulating kinase 4"
"159","PROM1","8842","PROM1-204","ENST00000503884","prominin 1"
"160","CCDC124","115098","CCDC124-201","ENST00000445755","coiled-coil domain containing 124"
"161","CEACAM21","90273","CEACAM21-206","ENST00000618577","CEA cell adhesion molecule 21"
"162","PAFAH1B1","5048","PAFAH1B1-211","ENST00000576586","platelet activating factor acetylhydrolase 1b regulatory subunit 1"
"163","NOS2","4843","NOS2-201","ENST00000313735","nitric oxide synthase 2"
"164","DNAH9","1770","DNAH9-201","ENST00000262442","dynein axonemal heavy chain 9"
"165","KIAA0100","9703","KIAA0100-202","ENST00000528896","KIAA0100"
"166","SLC13A2","9058","SLC13A2-202","ENST00000444914","solute carrier family 13 member 2"
"167","AC005747.1","8522","AC005747.1-201","ENST00000437099","growth arrest specific 7"
"168","TRAPPC6A","79090","TRAPPC6A-201","ENST00000006275","trafficking protein particle complex 6A"
"169","MATK","4145","MATK-202","ENST00000395040","megakaryocyte-associated tyrosine kinase"
"170","CEACAM7","1087","CEACAM7-201","ENST00000006724","CEA cell adhesion molecule 7"
"171","CD79B","974","CD79B-203","ENST00000392795","CD79b molecule"
"172","SCN4A","6329","SCN4A-201","ENST00000435607","sodium voltage-gated channel alpha subunit 4"
"173","ST7L","54879","ST7L-204","ENST00000361846","suppression of tumorigenicity 7 like"
"174","TKTL1","8277","TKTL1-202","ENST00000369915","transketolase like 1"
"175","PAX6","5080","PAX6-231","ENST00000606377","paired box 6"
"176","RPUSD1","113000","RPUSD1-202","ENST00000561734","RNA pseudouridine synthase domain containing 1"
"177","RHBDF1","64285","RHBDF1-201","ENST00000262316","rhomboid 5 homolog 1"
"178","LUC7L","55692","LUC7L-207","ENST00000426094","LUC7 like"
"179","CACNA2D2","9254","CACNA2D2-203","ENST00000423994","calcium voltage-gated channel auxiliary subunit alpha2delta 2"
"180","BAIAP3","8938","BAIAP3-204","ENST00000426824","BAI1 associated protein 3"
"181","TSR3","115939","TSR3-201","ENST00000007390","TSR3 ribosome maturation factor"
"182","PIGQ","9091","PIGQ-202","ENST00000293874","phosphatidylinositol glycan anchor biosynthesis class Q"
"183","TEAD3","7005","TEAD3-202","ENST00000402886","TEA domain transcription factor 3"
"184","SELE","6401","SELE-203","ENST00000367775","selectin E"
"185","DNAJC11","55735","DNAJC11-206","ENST00000465508","DnaJ heat shock protein family (Hsp40) member C11"
"186","FMO3","2328","FMO3-201","ENST00000367755","flavin containing dimethylaniline monoxygenase 3"
"187","MYLIP","29116","MYLIP-202","ENST00000356840","myosin regulatory light chain interacting protein"
"188","NOX1","27035","NOX1-204","ENST00000372966","NADPH oxidase 1"
"189","E2F2","1870","E2F2-201","ENST00000361729","E2F transcription factor 2"
"190","PSMB1","5689","PSMB1-201","ENST00000262193","proteasome 20S subunit beta 1"
"191","SYN1","6853","SYN1-201","ENST00000295987","synapsin I"
"192","JARID2","3720","JARID2-201","ENST00000341776","jumonji and AT-rich interaction domain containing 2"
"193","CDKL5","6792","CDKL5-202","ENST00000379996","cyclin dependent kinase like 5"
"194","CAMK1G","57172","CAMK1G-205","ENST00000651530","calcium/calmodulin dependent protein kinase IG"
"195","NADK","65220","NADK-201","ENST00000341426","NAD kinase"
"196","TFAP2B","7021","TFAP2B-201","ENST00000344788","transcription factor AP-2 beta"
"197","TFAP2D","83741","TFAP2D-201","ENST00000008391","transcription factor AP-2 delta"
"198","DLEC1","9940","DLEC1-203","ENST00000440294","DLEC1 cilia and flagella associated protein"
"199","CYTH3","9265","CYTH3-201","ENST00000350796","cytohesin 3"
"200","ADAM22","53616","ADAM22-204","ENST00000398204","ADAM metallopeptidase domain 22"
"201","SYPL1","6856","SYPL1-202","ENST00000455385","synaptophysin like 1"
"202","CYB561","1534","CYB561-202","ENST00000392975","cytochrome b561"
"203","SPAG9","9043","SPAG9-201","ENST00000262013","sperm associated antigen 9"
"204","CELSR3","1951","CELSR3-201","ENST00000164024","cadherin EGF LAG seven-pass G-type receptor 3"
"205","AASS","10157","AASS-206","ENST00000460376","aminoadipate-semialdehyde synthase"
"206","PLEKHG6","55200","PLEKHG6-201","ENST00000011684","pleckstrin homology and RhoGEF domain containing G6"
"207","SS18L2","51188","SS18L2-202","ENST00000447630","SS18 like 2"
"208","MPND","84954","MPND-201","ENST00000262966","MPN domain containing"
"209","MGST1","4257","MGST1-209","ENST00000536371","microsomal glutathione S-transferase 1"
"210","CRY1","1407","CRY1-201","ENST00000008527","cryptochrome circadian regulator 1"
"211","PGLYRP1","8993","PGLYRP1-201","ENST00000008938","peptidoglycan recognition protein 1"
"212","NFIX","4784","NFIX-203","ENST00000397661","nuclear factor I X"
"213","ST3GAL1","6482","ST3GAL1-207","ENST00000521180","ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
"214","MMP25","64386","MMP25-201","ENST00000336577","matrix metallopeptidase 25"
"215","IL32","9235","IL32-202","ENST00000325568","interleukin 32"
"216","PKD1","5310","PKD1-220","ENST00000487932","polycystin 1, transient receptor potential channel interacting"
"217","MAPK8IP2","23542","MAPK8IP2-202","ENST00000329492","mitogen-activated protein kinase 8 interacting protein 2"
"218","MED24","9862","MED24-202","ENST00000394126","mediator complex subunit 24"
"219","RHOBTB2","23221","RHOBTB2-205","ENST00000519685","Rho related BTB domain containing 2"
"220","HEATR5B","54497","HEATR5B-202","ENST00000425467","HEAT repeat containing 5B"
"221","SEC62","7095","SEC62-203","ENST00000461933","SEC62 homolog, preprotein translocation factor"
"222","RPS20","6224","RPS20-206","ENST00000520490","ribosomal protein S20"
"223","CSDE1","7812","CSDE1-202","ENST00000339438","cold shock domain containing E1"
"224","UBE3C","9690","UBE3C-201","ENST00000348165","ubiquitin protein ligase E3C"
"225","REV3L","5980","REV3L-208","ENST00000462119","REV3 like, DNA directed polymerase zeta catalytic subunit"
"226","TENM1","10178","TENM1-201","ENST00000371130","teneurin transmembrane protein 1"
"227","PAX7","5081","PAX7-203","ENST00000420770","paired box 7"
"228","MASP2","10747","MASP2-201","ENST00000400897","mannan binding lectin serine peptidase 2"
"229","IYD","389434","IYD-201","ENST00000229447","iodotyrosine deiodinase"
"230","FAM76A","199870","FAM76A-204","ENST00000373954","family with sequence similarity 76 member A"
"231","TRAF3IP3","80342","TRAF3IP3-205","ENST00000400959","TRAF3 interacting protein 3"
"232","POMT2","29954","POMT2-201","ENST00000261534","protein O-mannosyltransferase 2"
"233","VTA1","51534","VTA1-202","ENST00000367630","vesicle trafficking 1"
"234","MLXIPL","51085","MLXIPL-202","ENST00000345114","MLX interacting protein like"
"235","BAZ1B","9031","BAZ1B-201","ENST00000339594","bromodomain adjacent to zinc finger domain 1B"
"236","RANBP9","10048","RANBP9-201","ENST00000011619","RAN binding protein 9"
"237","ETV7","51513","ETV7-201","ENST00000339796","ETS variant transcription factor 7"
"238","SPRTN","83932","SPRTN-204","ENST00000391858","SprT-like N-terminal domain"
"239","EEF1AKNMT","51603","EEF1AKNMT-207","ENST00000485629","eEF1A lysine and N-terminal methyltransferase"
"240","ZNF207","7756","ZNF207-203","ENST00000394670","zinc finger protein 207"
"241","UQCRC1","7384","UQCRC1-207","ENST00000471189","ubiquinol-cytochrome c reductase core protein 1"
"242","STARD3NL","83930","STARD3NL-201","ENST00000009041","STARD3 N-terminal like"
"243","CD9","928","CD9-203","ENST00000382518","CD9 molecule"
"244","NCAPD2","9918","NCAPD2-210","ENST00000541399","non-SMC condensin I complex subunit D2"
"245","IFFO1","25900","IFFO1-208","ENST00000472558","intermediate filament family orphan 1"
"246","GIPR","2696","GIPR-209","ENST00000652180","gastric inhibitory polypeptide receptor"
"247","PHF7","51533","PHF7-201","ENST00000327906","PHD finger protein 7"
"248","SEMA3G","56920","SEMA3G-201","ENST00000231721","semaphorin 3G"
"249","NISCH","11188","NISCH-207","ENST00000479054","nischarin"
"250","STAB1","23166","STAB1-201","ENST00000321725","stabilin 1"
"251","FUZ","80199","FUZ-203","ENST00000525130","fuzzy planar cell polarity protein"
"252","SLC6A13","6540","SLC6A13-201","ENST00000343164","solute carrier family 6 member 13"
"253","IDS","3423","IDS-201","ENST00000340855","iduronate 2-sulfatase"
"254","PRSS3","5646","PRSS3-202","ENST00000361005","serine protease 3"
"255","ZNF200","7752","ZNF200-201","ENST00000396868","zinc finger protein 200"
"256","CD4","920","CD4-204","ENST00000535707","CD4 molecule"
"257","LRRC23","10233","LRRC23-207","ENST00000433346","leucine rich repeat containing 23"
"258","BTK","695","BTK-201","ENST00000308731","Bruton tyrosine kinase"
"259","HFE","3077","HFE-208","ENST00000397022","homeostatic iron regulator"
"260","SCMH1","22955","SCMH1-201","ENST00000326197","Scm polycomb group protein homolog 1"
"261","FYN","2534","FYN-205","ENST00000368682","FYN proto-oncogene, Src family tyrosine kinase"
"262","HIVEP2","3097","HIVEP2-202","ENST00000367603","HIVEP zinc finger 2"
"263","FMO1","2326","FMO1-208","ENST00000617670","flavin containing dimethylaniline monoxygenase 1"
"264","ELOA","6924","ELOA-201","ENST00000418390","elongin A"
"265","LYPLA2","11313","LYPLA2-205","ENST00000374514","lysophospholipase 2"
"266","CLCN6","1185","CLCN6-202","ENST00000346436","chloride voltage-gated channel 6"
"267","MRC2","9902","MRC2-201","ENST00000303375","mannose receptor C type 2"
"268","SLC6A7","6534","SLC6A7-201","ENST00000230671","solute carrier family 6 member 7"
"269","TSPAN9","10867","TSPAN9-204","ENST00000444315","tetraspanin 9"
"270","BTBD7","55727","BTBD7-203","ENST00000355125","BTB domain containing 7"
"271","APBA3","9546","APBA3-203","ENST00000588984","amyloid beta precursor protein binding family A member 3"
"272","MKS1","54903","MKS1-202","ENST00000393119","MKS transition zone complex subunit 1"
"273","ABHD5","51099","ABHD5-212","ENST00000643520","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"
"274","ANOS1","3730","ANOS1-201","ENST00000262648","anosmin 1"
"275","AKAP8L","26993","AKAP8L-201","ENST00000397410","A-kinase anchoring protein 8 like"
"276","MBTD1","54799","MBTD1-204","ENST00000586178","mbt domain containing 1"
"277","UTP18","51096","UTP18-201","ENST00000225298","UTP18 small subunit processome component"
"278","RNF216","54476","RNF216-205","ENST00000425013","ring finger protein 216"
"279","TTC19","54902","TTC19-201","ENST00000261647","tetratricopeptide repeat domain 19"
"280","PTBP1","5725","PTBP1-203","ENST00000356948","polypyrimidine tract binding protein 1"
"281","DPF1","8193","DPF1-206","ENST00000420980","double PHD fingers 1"
"282","SYT7","9066","SYT7-201","ENST00000263846","synaptotagmin 7"
"283","LARS2","23395","LARS2-210","ENST00000650792","leucyl-tRNA synthetase 2, mitochondrial"
"284","PIK3C2A","5286","PIK3C2A-203","ENST00000531428","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha"
"285","PLAUR","5329","PLAUR-202","ENST00000339082","plasminogen activator, urokinase receptor"
"286","ANLN","54443","ANLN-201","ENST00000265748","anillin actin binding protein"
"287","WIZ","58525","WIZ-212","ENST00000674001","WIZ zinc finger"
"288","RABGAP1","2844","RABGAP1-205","ENST00000456584","G protein-coupled receptor 21"
"289","DCN","1634","DCN-201","ENST00000052754","decorin"
"290","QPCTL","54814","QPCTL-201","ENST00000012049","glutaminyl-peptide cyclotransferase like"
"291","PPP5C","5536","PPP5C-201","ENST00000012443","protein phosphatase 5 catalytic subunit"
"292","CEP68","23177","CEP68-203","ENST00000475851","centrosomal protein 68"
"293","MAP4K3","8491","MAP4K3-201","ENST00000263881","mitogen-activated protein kinase kinase kinase kinase 3"
"294","ZBTB32","27033","ZBTB32-202","ENST00000392197","zinc finger and BTB domain containing 32"
"295","TYROBP","7305","TYROBP-207","ENST00000587837","transmembrane immune signaling adaptor TYROBP"
"296","TMEM159","57146","TMEM159-206","ENST00000573487","transmembrane protein 159"
"297","GABRA3","2556","GABRA3-201","ENST00000370314","gamma-aminobutyric acid type A receptor subunit alpha3"
"298","BRCA1","672","BRCA1-201","ENST00000352993","BRCA1 DNA repair associated"
"299","ERCC1","2067","ERCC1-202","ENST00000300853","ERCC excision repair 1, endonuclease non-catalytic subunit"
"300","CD22","933","CD22-219","ENST00000598537","CD22 molecule"
"301","SEMA3B","7869","SEMA3B-215","ENST00000621029","semaphorin 3B"
"302","MBTPS2","51360","MBTPS2-203","ENST00000465888","membrane bound transcription factor peptidase, site 2"
"303","PRICKLE3","4007","PRICKLE3-205","ENST00000540849","prickle planar cell polarity protein 3"
"304","LTF","4057","LTF-201","ENST00000231751","lactotransferrin"
"305","EXTL3","2137","EXTL3-212","ENST00000522725","exostosin like glycosyltransferase 3"
"306","NR1H4","9971","NR1H4-208","ENST00000551184","nuclear receptor subfamily 1 group H member 4"
"307","ELOVL5","60481","ELOVL5-201","ENST00000304434","ELOVL fatty acid elongase 5"
"308","ALOX5","240","ALOX5-201","ENST00000374391","arachidonate 5-lipoxygenase"
"309","KDM5D","8284","KDM5D-206","ENST00000469599","lysine demethylase 5D"
"310","CALCOCO1","57658","CALCOCO1-201","ENST00000262059","calcium binding and coiled-coil domain 1"
"311","UBR7","55148","UBR7-206","ENST00000555329","ubiquitin protein ligase E3 component n-recognin 7"
"312","MAP4K5","11183","MAP4K5-205","ENST00000554990","mitogen-activated protein kinase kinase kinase kinase 5"
"313","EHD3","30845","EHD3-201","ENST00000322054","EH domain containing 3"
"314","PSMC4","5704","PSMC4-201","ENST00000157812","proteasome 26S subunit, ATPase 4"
"315","MAN2B2","23324","MAN2B2-201","ENST00000285599","mannosidase alpha class 2B member 2"
"316","SLC7A14","57709","SLC7A14-201","ENST00000231706","solute carrier family 7 member 14"
"317","SLC25A39","51629","SLC25A39-201","ENST00000225308","solute carrier family 25 member 39"
"318","MVP","9961","MVP-207","ENST00000563915","major vault protein"
"319","NUB1","51667","NUB1-201","ENST00000413040","negative regulator of ubiquitin like proteins 1"
"320","PGM3","5238","PGM3-213","ENST00000515333","phosphoglucomutase 3"
"321","RWDD2A","112611","RWDD2A-201","ENST00000369724","RWD domain containing 2A"
"322","CLK1","1195","CLK1-201","ENST00000321356","CDC like kinase 1"
"323","POLR3B","55703","POLR3B-201","ENST00000228347","RNA polymerase III subunit B"
